#TYPE Microsoft.PowerShell.Commands.MatchInfo
"IgnoreCase","LineNumber","Line","Filename","Path","Pattern","Context","Matches"
"True","141","PN: GSV750-50_1 | Name: GSV750-50_1.1 | Size: 45.0 x 45.0 x 132.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","144","  [DEBUG] Document-level STL success. Size: 596197","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","146","PN: GSV750-50_1 | Name: GSV750-50_1.2 | Size: 45.0 x 45.0 x 132.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","149","  [DEBUG] Document-level STL success. Size: 596197","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","151","PN: GSV750-50_1 | Name: GSV750-50_1.3 | Size: 45.0 x 45.0 x 132.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","154","  [DEBUG] Document-level STL success. Size: 596197","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","156","PN: GSV750-50_1 | Name: GSV750-50_1.4 | Size: 45.0 x 45.0 x 132.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","159","  [DEBUG] Document-level STL success. Size: 336248","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","161","PN: BALANCER  DTPK38-60-20-Y_1 | Name: DTPM55-20-Y_1.1 | Size: 38.0 x 60.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","164","  [DEBUG] Document-level STL success. Size: 336248","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","166","PN: BALANCER  DTPK38-60-20-Y_1 | Name: BALANCER  DTPK38-60-20-Y_1 | Size: 38.0 x 60.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","171","PN: ADAPTER_LOWER_AND_UPPER_DIE | Name: ADAPTER_LOWER_AND_UPPER_DIE.1 | Size: Not Measurable","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","174","  [DEBUG] Document-level STL success. Size: 379886","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","176","MATCH -> PN: 000_LOWER_FLANGE_STEEL_01 | Name: 203_UPPER_FLANGE_STEEL_01.1 | Size: 150.0 x 100.0 x 145.03","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","179","  [DEBUG] Document-level STL success. Size: 381484","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","181","PN: 000_LOWER_FLANGE_STEEL_02 | Name: Copy (1) of 000_LOWER_FLANGE_STEEL_01.1 | Size: 140.0 x 100.0 x 145.03","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","184","  [DEBUG] Document-level STL success. Size: 407667","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
